Q2   W     ε      θ      σT + εσL        σT L             σT T            
0.5  1.31  0.684  22.5   20.488 ± 10.01  −7.712 ± 10.22   5.929 ± 32.65   
0.5  1.31  0.684  37.5   8.609 ± 0.69    −0.560 ± 0.58    −2.617 ± 0.37   
0.5  1.31  0.684  52.5   7.231 ± 0.47    −0.058 ± 0.20    −1.348 ± 0.09   
0.5  1.31  0.684  67.5   5.527 ± 0.67    −0.848 ± 0.62    −2.100 ± 0.44   
0.5  1.31  0.684  82.5   3.971 ± 0.27    −0.929 ± 0.15    −1.747 ± 0.05   
0.5  1.31  0.684  97.5   3.398 ± 0.22    −0.446 ± 0.11    −1.121 ± 0.03   
0.5  1.31  0.684  112.5  2.337 ± 0.15    −0.439 ± 0.10    −0.657 ± 0.03   
0.5  1.31  0.684  127.5  1.724 ± 0.16    −0.267 ± 0.10    −0.525 ± 0.03   
0.5  1.31  0.684  142.5  0.917 ± 0.15    0.079 ± 0.19     −0.496 ± 0.07   
0.5  1.33  0.667  7.5    11.443 ± 1.16   1.066 ± 0.56     0.706 ± 0.40    
0.5  1.33  0.667  22.5   12.483 ± 2.01   −0.364 ± 2.26    −0.195 ± 3.38   
0.5  1.33  0.667  37.5   8.152 ± 0.69    0.523 ± 0.72     −1.642 ± 0.52   
0.5  1.33  0.667  52.5   6.382 ± 0.44    0.248 ± 0.22     −1.649 ± 0.09   
0.5  1.33  0.667  67.5   4.837 ± 0.49    −0.458 ± 0.48    −1.746 ± 0.28   
0.5  1.33  0.667  82.5   3.637 ± 0.24    −0.572 ± 0.12    −1.864 ± 0.04   
0.5  1.33  0.667  97.5   2.691 ± 0.17    −0.509 ± 0.09    −1.353 ± 0.02   
0.5  1.33  0.667  112.5  1.865 ± 0.13    −0.313 ± 0.10    −0.793 ± 0.03   
0.5  1.33  0.667  127.5  1.343 ± 0.11    −0.286 ± 0.14    −0.588 ± 0.05   
0.5  1.33  0.667  142.5  0.539 ± 0.33    0.037 ± 0.31     −0.363 ± 0.14   
0.5  1.35  0.648  7.5    11.045 ± 0.86   1.222 ± 0.59     −0.250 ± 0.39   
0.5  1.35  0.648  22.5   6.222 ± 1.27    4.666 ± 1.67     −6.508 ± 2.12   
0.5  1.35  0.648  37.5   7.830 ± 0.74    2.475 ± 1.08     1.467 ± 1.00    
0.5  1.35  0.648  52.5   5.956 ± 0.42    0.324 ± 0.26     −0.830 ± 0.12   
0.5  1.35  0.648  67.5   4.123 ± 0.31    −0.778 ± 0.26    −2.022 ± 0.12   
0.5  1.35  0.648  82.5   3.151 ± 0.21    −0.670 ± 0.10    −1.665 ± 0.03   
0.5  1.35  0.648  97.5   2.312 ± 0.16    −0.542 ± 0.13    −1.326 ± 0.04   
0.5  1.35  0.648  112.5  1.427 ± 0.10    −0.360 ± 0.07    −0.323 ± 0.02   
0.5  1.35  0.648  127.5  0.942 ± 0.08    −0.298 ± 0.06    −0.308 ± 0.01   
0.5  1.35  0.648  142.5  0.908 ± 0.28    −0.492 ± 0.31    0.153 ± 0.15    
0.5  1.37  0.629  7.5    9.668 ± 0.71    1.076 ± 0.52     1.288 ± 0.32    
0.5  1.37  0.629  22.5   8.243 ± 0.75    0.313 ± 0.92     −0.046 ± 0.75   
0.5  1.37  0.629  37.5   6.765 ± 0.61    0.294 ± 0.82     −2.590 ± 0.65   
0.5  1.37  0.629  52.5   5.883 ± 0.47    0.465 ± 0.33     −2.107 ± 0.18   
0.5  1.37  0.629  67.5   3.942 ± 0.34    −0.234 ± 0.23    −2.457 ± 0.10   
0.5  1.37  0.629  82.5   2.704 ± 0.18    −0.567 ± 0.08    −1.429 ± 0.02   
0.5  1.37  0.629  97.5   2.066 ± 0.14    −0.276 ± 0.12    −0.577 ± 0.04   
0.5  1.37  0.629  112.5  1.258 ± 0.11    −0.246 ± 0.09    −0.580 ± 0.02   
0.5  1.37  0.629  127.5  0.749 ± 0.07    −0.240 ± 0.05    −0.213 ± 0.01   
0.5  1.37  0.629  142.5  0.468 ± 0.07    −0.154 ± 0.07    0.068 ± 0.02    
0.5  1.39  0.608  7.5    8.515 ± 0.65    0.529 ± 0.61     0.570 ± 0.40    
0.5  1.39  0.608  22.5   7.677 ± 0.62    0.498 ± 0.43     −0.540 ± 0.27   
0.5  1.39  0.608  37.5   7.727 ± 2.34    −0.621 ± 2.31    −0.071 ± 3.49   
0.5  1.39  0.608  52.5   5.364 ± 0.54    0.939 ± 0.43     −0.875 ± 0.26   
0.5  1.39  0.608  67.5   3.877 ± 0.31    −0.056 ± 0.15    −2.085 ± 0.05   
0.5  1.39  0.608  82.5   2.564 ± 0.19    −0.439 ± 0.08    −1.593 ± 0.02   
0.5  1.39  0.608  97.5   1.896 ± 0.13    −0.477 ± 0.09    −1.387 ± 0.02   
0.5  1.39  0.608  112.5  1.198 ± 0.12    −0.256 ± 0.09    −0.599 ± 0.02   
0.5  1.39  0.608  127.5  0.759 ± 0.12    −0.202 ± 0.17    −0.298 ± 0.06   
0.5  1.39  0.608  142.5  0.412 ± 1.20    −0.118 ± 1.33    −0.071 ± 1.53   
0.5  1.41  0.586  7.5    7.814 ± 0.66    0.175 ± 0.42     0.791 ± 0.23    
0.5  1.41  0.586  22.5   7.093 ± 0.74    1.108 ± 0.55     −0.355 ± 0.37   
0.5  1.41  0.586  37.5   7.844 ± 1.54    −1.257 ± 1.44    2.432 ± 1.69    
0.5  1.41  0.586  52.5   4.543 ± 0.33    0.358 ± 0.31     −2.084 ± 0.17   
0.5  1.41  0.586  67.5   3.854 ± 0.32    0.378 ± 0.19     −1.513 ± 0.08   
0.5  1.41  0.586  82.5   2.551 ± 0.18    −0.254 ± 0.09    −1.825 ± 0.02   
0.5  1.41  0.586  97.5   1.964 ± 0.15    −0.395 ± 0.10    −0.891 ± 0.03   
0.5  1.41  0.586  112.5  1.121 ± 0.08    −0.168 ± 0.06    −0.474 ± 0.01   
0.5  1.41  0.586  127.5  0.659 ± 0.06    −0.099 ± 0.08    −0.327 ± 0.02   
0.5  1.41  0.586  142.5  0.406 ± 0.11    −0.078 ± 0.11    −0.201 ± 0.03   
0.5  1.43  0.562  7.5    7.009 ± 0.65    −0.609 ± 0.38    0.415 ± 0.22    
0.5  1.43  0.562  22.5   6.304 ± 0.81    1.279 ± 0.91     −0.934 ± 0.85   
0.5  1.43  0.562  37.5   4.752 ± 1.09    1.322 ± 0.96     −3.342 ± 0.91   
0.5  1.43  0.562  52.5   4.515 ± 0.35    0.883 ± 0.31     −1.512 ± 0.15   
0.5  1.43  0.562  67.5   3.783 ± 0.30    0.150 ± 0.12     −2.648 ± 0.04   
0.5  1.43  0.562  82.5   2.678 ± 0.19    −0.229 ± 0.11    −1.612 ± 0.03   
0.5  1.43  0.562  97.5   1.747 ± 0.12    −0.462 ± 0.10    −1.493 ± 0.03   
0.5  1.43  0.562  112.5  1.294 ± 0.09    −0.218 ± 0.06    −0.758 ± 0.01   
0.5  1.43  0.562  127.5  0.833 ± 0.09    −0.183 ± 0.06    −0.421 ± 0.01   
0.5  1.43  0.562  142.5  0.576 ± 0.15    −0.247 ± 0.18    −0.086 ± 0.07   
0.5  1.45  0.537  7.5    6.186 ± 0.82    0.257 ± 0.34     0.880 ± 0.19    
0.5  1.45  0.537  22.5   5.961 ± 0.71    1.035 ± 0.75     −1.717 ± 0.58   
0.5  1.45  0.537  37.5   5.339 ± 0.63    0.664 ± 0.52     −2.502 ± 0.35   
0.5  1.45  0.537  52.5   4.806 ± 0.40    0.664 ± 0.36     −3.082 ± 0.20   
0.5  1.45  0.537  67.5   3.767 ± 0.25    0.052 ± 0.10     −2.405 ± 0.03   
0.5  1.45  0.537  82.5   3.055 ± 0.20    −0.228 ± 0.15    −2.274 ± 0.05   
0.5  1.45  0.537  97.5   2.198 ± 0.16    −0.382 ± 0.09    −1.636 ± 0.03   
0.5  1.45  0.537  112.5  1.501 ± 0.11    −0.230 ± 0.08    −0.766 ± 0.02   
0.5  1.45  0.537  127.5  1.041 ± 0.09    −0.290 ± 0.05    −0.415 ± 0.01   
0.5  1.45  0.537  142.5  0.525 ± 0.10    −0.074 ± 0.13    −0.438 ± 0.04   
0.5  1.47  0.511  7.5    6.493 ± 0.51    1.240 ± 0.44     0.757 ± 0.27    
0.5  1.47  0.511  22.5   5.419 ± 0.64    0.281 ± 0.59     −2.034 ± 0.41   
0.5  1.47  0.511  37.5   5.346 ± 0.52    1.388 ± 0.41     −2.538 ± 0.26   
0.5  1.47  0.511  52.5   4.663 ± 0.46    0.623 ± 0.45     −3.479 ± 0.26   
0.5  1.47  0.511  67.5   4.404 ± 0.39    0.171 ± 0.09     −2.818 ± 0.02   
0.5  1.47  0.511  82.5   3.475 ± 0.24    −0.421 ± 0.13    −2.452 ± 0.04   
0.5  1.47  0.511  97.5   2.723 ± 0.19    −0.429 ± 0.14    −2.035 ± 0.04   
0.5  1.47  0.511  112.5  2.011 ± 0.16    −0.440 ± 0.07    −1.093 ± 0.02   
0.5  1.47  0.511  127.5  1.403 ± 0.11    −0.249 ± 0.08    −0.911 ± 0.02   
0.5  1.47  0.511  142.5  1.097 ± 0.24    −0.283 ± 0.29    −0.724 ± 0.13   
0.5  1.49  0.484  7.5    6.737 ± 0.79    1.502 ± 0.61     −1.058 ± 0.40   
0.5  1.49  0.484  22.5   5.545 ± 1.30    1.010 ± 1.66     −2.434 ± 2.12   
0.5  1.49  0.484  37.5   5.534 ± 0.55    1.060 ± 0.57     −0.767 ± 0.40   
0.5  1.49  0.484  52.5   4.024 ± 1.12    1.384 ± 1.05     −5.446 ± 1.05   
0.5  1.49  0.484  67.5   4.338 ± 0.33    0.059 ± 0.18     −2.964 ± 0.06   
0.5  1.49  0.484  82.5   3.849 ± 0.28    −0.205 ± 0.15    −2.743 ± 0.06   
0.5  1.49  0.484  97.5   3.217 ± 0.24    −0.474 ± 0.19    −2.787 ± 0.07   
0.5  1.49  0.484  112.5  2.829 ± 0.22    −0.466 ± 0.18    −2.051 ± 0.06   
0.5  1.49  0.484  127.5  2.097 ± 0.18    −0.582 ± 0.15    −1.631 ± 0.05   
0.5  1.49  0.484  142.5  1.543 ± 0.30    −0.569 ± 0.31    −0.823 ± 0.14   
0.5  1.51  0.455  37.5   3.093 ± 1.47    −1.948 ± 2.77    −7.737 ± 4.61   
0.5  1.51  0.455  52.5   1.924 ± 1.92    2.315 ± 2.22     −8.786 ± 3.16   
0.5  1.51  0.455  67.5   2.791 ± 0.32    0.089 ± 0.15     −1.844 ± 0.05   
0.5  1.51  0.455  82.5   2.629 ± 0.57    −0.143 ± 0.69    −2.840 ± 0.50   
0.5  1.51  0.455  97.5   2.471 ± 0.37    −0.746 ± 0.25    −3.246 ± 0.10   
0.5  1.51  0.455  112.5  2.252 ± 0.25    −0.437 ± 0.27    −2.160 ± 0.12   
0.5  1.51  0.455  127.5  2.035 ± 1.03    −0.420 ± 1.35    −1.524 ± 1.54   
0.6  1.11  0.763  22.5   1.694 ± 0.28    −0.258 ± 0.18    0.546 ± 0.07    
0.6  1.11  0.763  37.5   2.421 ± 0.26    −0.516 ± 0.14    −0.484 ± 0.05   
0.6  1.11  0.763  52.5   2.101 ± 0.50    −0.513 ± 0.41    −0.604 ± 0.24   
0.6  1.11  0.763  67.5   2.196 ± 0.26    −0.558 ± 0.28    −0.288 ± 0.13   
0.6  1.11  0.763  82.5   1.964 ± 0.20    −0.301 ± 0.20    −1.035 ± 0.08   
0.6  1.11  0.763  97.5   1.823 ± 0.40    −0.664 ± 0.28    −1.277 ± 0.13   
0.6  1.11  0.763  112.5  1.580 ± 0.72    −0.614 ± 0.70    −1.297 ± 0.55   
0.6  1.13  0.752  22.5   2.781 ± 0.28    −0.057 ± 0.21    0.329 ± 0.09    
0.6  1.13  0.752  37.5   2.911 ± 0.30    −0.573 ± 0.16    −0.596 ± 0.06   
0.6  1.13  0.752  52.5   2.941 ± 0.35    −0.387 ± 0.31    −0.073 ± 0.17   
0.6  1.13  0.752  67.5   2.824 ± 0.26    −0.673 ± 0.22    −1.128 ± 0.09   
0.6  1.13  0.752  82.5   2.995 ± 0.23    −0.586 ± 0.12    −1.557 ± 0.04   
0.6  1.13  0.752  97.5   2.847 ± 0.25    −0.502 ± 0.20    −1.417 ± 0.08   
0.6  1.13  0.752  112.5  2.649 ± 0.33    −0.377 ± 0.31    −1.562 ± 0.16   
0.6  1.13  0.752  127.5  2.866 ± 0.44    −0.650 ± 0.41    −1.025 ± 0.22   
0.6  1.15  0.742  22.5   3.629 ± 0.36    −0.644 ± 0.21    −1.393 ± 0.08   
0.6  1.15  0.742  37.5   3.167 ± 0.42    −0.912 ± 0.43    −1.821 ± 0.24   
0.6  1.15  0.742  52.5   3.272 ± 0.70    −1.202 ± 0.75    −2.286 ± 0.61   
0.6  1.15  0.742  67.5   4.034 ± 0.29    −1.075 ± 0.18    −1.943 ± 0.07   
0.6  1.15  0.742  82.5   4.300 ± 0.35    −0.364 ± 0.19    −1.633 ± 0.08   
0.6  1.15  0.742  97.5   4.509 ± 0.35    −0.374 ± 0.26    −2.661 ± 0.13   
0.6  1.15  0.742  112.5  3.906 ± 0.30    −0.564 ± 0.17    −2.547 ± 0.06   
0.6  1.15  0.742  127.5  3.787 ± 0.41    −0.392 ± 0.22    −1.837 ± 0.10   
0.6  1.15  0.742  142.5  6.362 ± 1.91    −2.414 ± 1.88    0.906 ± 2.56    
0.6  1.17  0.73   22.5   3.899 ± 0.79    −0.238 ± 0.80    0.531 ± 0.68    
0.6  1.17  0.73   37.5   3.840 ± 0.39    −1.192 ± 0.29    −1.054 ± 0.14   
0.6  1.17  0.73   52.5   5.724 ± 1.05    −0.484 ± 1.20    −1.972 ± 1.11   
0.6  1.17  0.73   67.5   5.386 ± 0.41    −1.455 ± 0.26    −3.852 ± 0.11   
0.6  1.17  0.73   82.5   6.273 ± 0.45    −0.903 ± 0.29    −4.025 ± 0.13   
0.6  1.17  0.73   97.5   5.997 ± 0.43    −0.646 ± 0.22    −3.741 ± 0.10   
0.6  1.17  0.73   112.5  5.815 ± 0.38    0.137 ± 0.20     −3.315 ± 0.07   
0.6  1.17  0.73   127.5  5.594 ± 0.41    −0.267 ± 0.32    −2.349 ± 0.15   
0.6  1.17  0.73   142.5  6.416 ± 1.76    0.529 ± 1.77     −2.563 ± 2.35   
0.6  1.19  0.718  22.5   4.580 ± 0.57    −0.849 ± 0.34    −1.383 ± 0.17   
0.6  1.19  0.718  37.5   5.755 ± 0.58    −0.906 ± 0.45    −0.376 ± 0.27   
0.6  1.19  0.718  52.5   6.580 ± 0.69    −1.566 ± 0.63    −2.904 ± 0.48   
0.6  1.19  0.718  67.5   8.403 ± 0.68    −0.575 ± 0.56    −3.656 ± 0.41   
0.6  1.19  0.718  82.5   8.310 ± 0.56    −1.020 ± 0.30    −5.952 ± 0.16   
0.6  1.19  0.718  97.5   8.933 ± 0.61    −0.469 ± 0.26    −5.504 ± 0.12   
0.6  1.19  0.718  112.5  8.264 ± 0.54    0.035 ± 0.22     −4.498 ± 0.09   
0.6  1.19  0.718  127.5  7.675 ± 0.56    0.218 ± 0.31     −3.107 ± 0.15   
0.6  1.19  0.718  142.5  6.351 ± 0.89    0.863 ± 0.85     −2.880 ± 0.74   
0.6  1.21  0.704  22.5   7.259 ± 0.80    −1.361 ± 0.37    −0.350 ± 0.19   
0.6  1.21  0.704  37.5   7.749 ± 0.63    −0.722 ± 0.42    −0.771 ± 0.24   
0.6  1.21  0.704  52.5   8.603 ± 0.71    −1.635 ± 0.48    −4.757 ± 0.30   
0.6  1.21  0.704  67.5   9.952 ± 0.73    −1.279 ± 0.52    −4.917 ± 0.35   
0.6  1.21  0.704  82.5   10.180 ± 0.72   −0.913 ± 0.47    −5.997 ± 0.30   
0.6  1.21  0.704  97.5   10.446 ± 0.66   −0.542 ± 0.24    −5.591 ± 0.11   
0.6  1.21  0.704  112.5  9.808 ± 0.66    0.339 ± 0.41     −5.239 ± 0.23   
0.6  1.21  0.704  127.5  8.760 ± 0.59    0.590 ± 0.23     −4.167 ± 0.10   
0.6  1.21  0.704  142.5  6.591 ± 1.37    0.957 ± 1.34     −3.864 ± 1.38   
0.6  1.23  0.69   22.5   8.618 ± 0.84    −0.649 ± 0.38    −0.232 ± 0.21   
0.6  1.23  0.69   37.5   9.234 ± 0.70    −0.931 ± 0.38    −0.557 ± 0.23   
0.6  1.23  0.69   52.5   10.844 ± 0.82   0.302 ± 0.62     −1.578 ± 0.42   
0.6  1.23  0.69   67.5   9.592 ± 0.79    −2.084 ± 0.61    −6.395 ± 0.44   
0.6  1.23  0.69   82.5   8.972 ± 0.71    −1.632 ± 0.56    −5.479 ± 0.37   
0.6  1.23  0.69   97.5   8.957 ± 0.55    −0.806 ± 0.22    −4.975 ± 0.09   
0.6  1.23  0.69   112.5  8.148 ± 0.53    0.305 ± 0.20     −4.716 ± 0.09   
0.6  1.23  0.69   127.5  7.130 ± 0.46    0.606 ± 0.20     −3.026 ± 0.08   
0.6  1.23  0.69   142.5  7.504 ± 1.05    −1.681 ± 1.04    0.629 ± 0.99    
0.6  1.25  0.675  22.5   8.725 ± 0.98    0.322 ± 0.41     3.193 ± 0.25    
0.6  1.25  0.675  37.5   10.228 ± 0.85   0.569 ± 0.51     −1.810 ± 0.33   
0.6  1.25  0.675  52.5   9.522 ± 0.68    0.043 ± 0.39     −1.583 ± 0.23   
0.6  1.25  0.675  67.5   8.376 ± 0.59    −0.634 ± 0.38    −1.673 ± 0.22   
0.6  1.25  0.675  82.5   7.083 ± 0.58    −1.476 ± 0.50    −5.152 ± 0.32   
0.6  1.25  0.675  97.5   6.816 ± 0.43    −0.535 ± 0.16    −3.295 ± 0.06   
0.6  1.25  0.675  112.5  5.785 ± 0.37    −0.205 ± 0.25    −2.848 ± 0.11   
0.6  1.25  0.675  127.5  4.852 ± 0.34    −0.047 ± 0.16    −1.667 ± 0.06   
0.6  1.25  0.675  142.5  3.961 ± 0.50    0.091 ± 0.50     −0.632 ± 0.34   
0.6  1.27  0.66   7.5    6.519 ± 3.15    6.526 ± 3.60     −5.081 ± 6.56   
0.6  1.27  0.66   22.5   12.116 ± 1.68   0.158 ± 0.59     −5.376 ± 0.40   
0.6  1.27  0.66   37.5   9.482 ± 0.79    −0.165 ± 0.47    −1.871 ± 0.32   
0.6  1.27  0.66   52.5   8.546 ± 0.65    0.310 ± 0.37     −0.868 ± 0.20   
0.6  1.27  0.66   67.5   7.293 ± 0.68    −0.216 ± 0.61    −1.224 ± 0.45   
0.6  1.27  0.66   82.5   5.670 ± 0.46    −1.023 ± 0.34    −2.716 ± 0.18   
0.6  1.27  0.66   97.5   4.810 ± 0.36    −1.039 ± 0.34    −2.696 ± 0.18   
0.6  1.27  0.66   112.5  4.218 ± 0.29    −0.279 ± 0.20    −2.096 ± 0.08   
0.6  1.27  0.66   127.5  3.083 ± 0.25    0.104 ± 0.14     −0.906 ± 0.05   
0.6  1.27  0.66   142.5  2.144 ± 0.30    0.038 ± 0.28     −0.899 ± 0.13   
0.6  1.29  0.643  7.5    10.927 ± 1.19   −1.076 ± 1.00    2.494 ± 0.98    
0.6  1.29  0.643  22.5   32.875 ± 16.21  −22.147 ± 16.45  14.492 ± 66.68  
0.6  1.29  0.643  37.5   9.613 ± 1.21    0.795 ± 1.29     −1.005 ± 1.36   
0.6  1.29  0.643  52.5   7.230 ± 0.55    −0.272 ± 0.31    −1.807 ± 0.16   
0.6  1.29  0.643  67.5   5.405 ± 0.44    −1.205 ± 0.38    −1.620 ± 0.22   
0.6  1.29  0.643  82.5   4.833 ± 0.35    −0.551 ± 0.23    −1.671 ± 0.10   
0.6  1.29  0.643  97.5   3.725 ± 0.26    −0.528 ± 0.20    −1.717 ± 0.07   
0.6  1.29  0.643  112.5  2.816 ± 0.20    −0.286 ± 0.09    −1.443 ± 0.03   
0.6  1.29  0.643  127.5  1.822 ± 0.18    −0.109 ± 0.11    −0.541 ± 0.03   
0.6  1.29  0.643  142.5  1.400 ± 0.75    0.187 ± 0.76     −1.164 ± 0.60   
0.6  1.31  0.625  7.5    8.989 ± 0.98    0.774 ± 0.81     1.616 ± 0.71    
0.6  1.31  0.625  22.5   11.234 ± 3.78   0.305 ± 4.86     −1.951 ± 9.44   
0.6  1.31  0.625  37.5   8.146 ± 0.71    0.232 ± 0.72     −0.283 ± 0.52   
0.6  1.31  0.625  52.5   6.344 ± 0.48    −0.197 ± 0.36    −0.865 ± 0.18   
0.6  1.31  0.625  67.5   5.185 ± 0.42    −0.267 ± 0.33    −1.387 ± 0.17   
0.6  1.31  0.625  82.5   3.999 ± 0.31    −0.567 ± 0.17    −1.620 ± 0.07   
0.6  1.31  0.625  97.5   2.869 ± 0.23    −0.588 ± 0.19    −1.406 ± 0.07   
0.6  1.31  0.625  112.5  2.156 ± 0.16    −0.310 ± 0.12    −0.579 ± 0.04   
0.6  1.31  0.625  127.5  1.378 ± 0.11    −0.151 ± 0.09    −0.642 ± 0.02   
0.6  1.31  0.625  142.5  0.796 ± 0.23    0.085 ± 0.15     −0.422 ± 0.05   
0.6  1.33  0.606  7.5    10.663 ± 1.18   0.960 ± 0.81     1.251 ± 0.65    
0.6  1.33  0.606  22.5   8.178 ± 1.86    0.488 ± 2.25     −0.263 ± 3.35   
0.6  1.33  0.606  37.5   7.542 ± 0.69    −0.130 ± 0.55    −2.202 ± 0.39   
0.6  1.33  0.606  52.5   5.987 ± 0.46    0.161 ± 0.35     −0.516 ± 0.18   
0.6  1.33  0.606  67.5   4.482 ± 0.41    −0.435 ± 0.35    −1.028 ± 0.18   
0.6  1.33  0.606  82.5   3.344 ± 0.25    −0.489 ± 0.15    −0.827 ± 0.06   
0.6  1.33  0.606  97.5   2.464 ± 0.20    −0.617 ± 0.16    −0.491 ± 0.05   
0.6  1.33  0.606  112.5  1.637 ± 0.27    −0.348 ± 0.16    −0.764 ± 0.06   
0.6  1.33  0.606  127.5  1.076 ± 0.10    −0.049 ± 0.09    −0.297 ± 0.02   
0.6  1.33  0.606  142.5  0.596 ± 0.41    −0.190 ± 0.55    −0.184 ± 0.39   
0.6  1.35  0.585  7.5    10.280 ± 0.95   −1.230 ± 1.02    2.510 ± 0.88    
0.6  1.35  0.585  22.5   8.556 ± 1.06    0.161 ± 0.83     −0.323 ± 0.66   
0.6  1.35  0.585  52.5   5.469 ± 0.47    0.143 ± 0.41     −1.736 ± 0.23   
0.6  1.35  0.585  67.5   4.306 ± 0.47    −0.125 ± 0.54    −1.657 ± 0.34   
0.6  1.35  0.585  82.5   2.913 ± 0.21    −0.686 ± 0.14    −1.253 ± 0.04   
0.6  1.35  0.585  97.5   2.072 ± 0.16    −0.632 ± 0.14    −1.029 ± 0.04   
0.6  1.35  0.585  112.5  1.391 ± 0.12    −0.351 ± 0.10    −0.478 ± 0.03   
0.6  1.35  0.585  127.5  0.899 ± 0.11    −0.148 ± 0.16    −0.184 ± 0.06   
0.6  1.35  0.585  142.5  0.470 ± 0.10    −0.178 ± 0.12    0.027 ± 0.03    
0.6  1.37  0.564  7.5    7.837 ± 0.88    −0.683 ± 0.81    0.858 ± 0.64    
0.6  1.37  0.564  22.5   7.909 ± 0.82    0.474 ± 0.63     −2.110 ± 0.48   
0.6  1.37  0.564  37.5   9.252 ± 2.69    −3.438 ± 2.74    2.210 ± 4.48    
0.6  1.37  0.564  52.5   5.254 ± 0.42    0.213 ± 0.47     −1.140 ± 0.28   
0.6  1.37  0.564  67.5   3.807 ± 0.35    0.000 ± 0.29     −1.035 ± 0.14   
0.6  1.37  0.564  82.5   2.637 ± 0.20    −0.346 ± 0.18    −1.339 ± 0.07   
0.6  1.37  0.564  97.5   1.979 ± 0.18    −0.177 ± 0.16    0.033 ± 0.06    
0.6  1.37  0.564  112.5  1.076 ± 0.10    −0.263 ± 0.10    −0.284 ± 0.03   
0.6  1.37  0.564  127.5  0.667 ± 0.10    −0.255 ± 0.07    −0.205 ± 0.02   
0.6  1.37  0.564  142.5  0.454 ± 0.14    −0.144 ± 0.19    −0.152 ± 0.07   
0.6  1.39  0.541  7.5    7.566 ± 1.79    0.416 ± 0.65     0.104 ± 0.47    
0.6  1.39  0.541  22.5   6.792 ± 0.70    0.685 ± 0.72     −1.268 ± 0.56   
0.6  1.39  0.541  37.5   8.205 ± 2.06    −0.844 ± 2.04    4.278 ± 2.71    
0.6  1.39  0.541  52.5   4.322 ± 0.44    −0.049 ± 0.51    −2.415 ± 0.34   
0.6  1.39  0.541  67.5   3.496 ± 0.47    0.028 ± 0.47     −1.563 ± 0.27   
0.6  1.39  0.541  82.5   2.549 ± 0.21    −0.058 ± 0.17    −0.935 ± 0.06   
0.6  1.39  0.541  97.5   1.713 ± 0.20    −0.382 ± 0.15    −0.896 ± 0.05   
0.6  1.39  0.541  112.5  1.138 ± 0.20    −0.284 ± 0.18    −0.297 ± 0.06   
0.6  1.39  0.541  127.5  0.542 ± 0.09    −0.130 ± 0.11    −0.097 ± 0.03   
0.6  1.39  0.541  142.5  0.419 ± 0.10    −0.184 ± 0.11    0.178 ± 0.04    
0.6  1.41  0.518  67.5   2.856 ± 0.47    −0.527 ± 0.44    0.574 ± 0.26    
0.6  1.41  0.518  82.5   2.367 ± 0.45    0.044 ± 0.46     −0.610 ± 0.30   
0.6  1.41  0.518  97.5   1.817 ± 0.56    −0.631 ± 0.54    −2.507 ± 0.33   
